age,weekly_watch_hours,skip_rate,avg_rating_given,logins_per_week,subscription_type,content_diversity_score,days_since_last_login,notifications_clicked,watch_streak_days,engagement_level
64,5.84,,3.4,3,Basic,0.82,31,5,5,0
35,1.93,0.35,1.7,4,Free,0.69,31,5,26,1
37,2.66,0.47,2.1,3,Free,0.18,21,4,22,0
43,4.09,0.33,2.7,6,Premium,0.29,48,10,26,1
55,,0.11,2.4,6,Free,0.55,24,4,18,2
64,0.11,0.15,3.1,2,Free,0.62,5,2,12,1
22,8.38,0.03,3.4,0,Free,0.07,50,2,15,0
16,8.84,0.47,3.3,6,Free,0.61,26,4,11,1
47,12.82,0.95,3.6,4,Free,0.74,17,6,18,2
28,21.6,0.12,2.2,4,Premium,0.18,11,2,22,2
45,0.16,0.95,1.5,6,Basic,0.25,27,8,18,0
38,1.34,0.73,4.0,1,Premium,0.26,18,1,6,0
34,17.38,0.64,4.4,4,Free,0.94,42,4,17,2
47,4.91,0.65,2.0,2,Free,0.41,16,2,23,0
45,6.65,0.93,2.6,3,Basic,0.53,34,4,13,0
44,8.7,0.11,3.0,0,Premium,0.72,14,2,24,2
64,9.09,0.5,3.1,6,Basic,0.37,4,3,13,1
60,21.48,0.7,3.6,3,Premium,0.11,35,3,21,2
44,46.34,0.59,,3,Premium,0.65,57,1,29,2
45,10.19,0.83,3.9,5,Free,0.67,32,1,28,1
31,2.71,0.07,1.2,2,Free,0.26,20,2,15,0
55,16.95,,2.9,1,Basic,0.04,34,3,17,1
34,0.4,0.53,4.3,8,Premium,0.67,41,3,27,1
33,,0.92,2.8,2,Free,0.7,26,4,8,0
16,18.21,0.34,1.6,4,Basic,0.03,44,6,27,2
29,2.37,0.62,4.9,4,Basic,0.69,29,1,20,0
62,1.99,0.89,4.6,3,Free,0.94,38,4,29,1
17,1.19,0.5,,2,Basic,0.18,45,4,3,0
43,15.68,0.82,,3,Free,0.52,57,4,6,0
64,5.55,0.4,1.7,3,Premium,0.7,29,10,26,2
45,8.99,0.1,4.8,4,Basic,0.23,58,3,10,0
53,2.19,0.06,3.1,5,Premium,0.75,44,4,5,0
19,11.35,,4.4,5,Free,0.87,55,3,19,2
16,11.42,0.38,,3,Free,0.81,20,2,11,1
23,3.0,0.34,2.3,3,Premium,0.26,25,2,11,0
44,4.23,,4.9,3,Free,0.8,23,2,11,0
54,1.88,0.74,3.1,5,Free,0.41,53,2,26,0
18,30.03,0.05,,7,Free,0.27,21,1,13,2
47,8.3,0.22,,1,Basic,0.17,36,5,9,0
25,21.81,0.27,,5,Free,0.91,42,3,1,2
25,2.89,0.55,1.2,3,Basic,0.43,25,5,19,0
34,,0.14,2.9,2,Basic,0.87,21,3,11,2
61,11.61,0.13,2.7,3,Basic,0.16,45,1,16,1
49,9.41,0.94,4.1,1,Premium,0.77,32,4,7,0
48,26.97,0.8,2.4,5,Free,0.11,23,4,19,2
38,4.0,1.0,,3,Free,0.02,4,1,1,0
43,1.12,0.41,1.7,3,Free,1.0,23,6,28,1
47,8.91,0.36,3.4,7,Premium,0.07,34,3,20,1
22,10.45,,1.4,6,Premium,0.46,57,3,11,0
44,6.85,0.51,3.9,1,Free,0.88,21,5,29,2
23,1.85,0.13,5.0,2,Free,0.82,32,2,27,1
16,5.62,0.74,4.3,6,Free,0.47,16,3,12,1
18,2.99,0.96,3.2,3,Premium,0.61,51,2,0,0
39,4.46,0.26,2.9,3,Basic,0.63,11,3,17,1
38,8.29,0.38,4.3,6,Premium,0.11,29,5,13,1
23,10.94,0.5,4.7,4,Free,0.28,25,2,23,1
62,2.11,0.34,5.0,9,Free,0.3,12,5,11,1
52,4.16,0.24,2.6,7,Basic,0.38,5,3,19,2
18,,,,6,Premium,0.27,2,2,24,2
48,1.77,0.02,1.6,2,Free,0.25,10,3,25,1
43,12.24,0.77,2.0,5,Free,0.35,42,3,3,0
62,,0.17,1.4,4,Premium,0.38,59,3,13,1
23,3.7,0.87,,1,Free,0.49,59,1,17,0
49,,0.65,,3,Free,0.17,52,3,23,0
50,18.18,0.77,4.4,8,Free,0.79,9,4,25,2
47,14.97,0.81,4.1,5,Free,0.86,10,2,29,2
39,,0.49,3.5,4,Free,0.25,15,3,28,1
29,25.04,0.21,3.1,3,Basic,0.12,19,4,3,2
47,3.78,,3.8,3,Free,0.72,41,3,7,0
61,3.31,,2.6,2,Free,0.92,43,3,28,0
58,0.52,0.25,,9,Basic,0.04,18,3,17,1
31,5.33,0.9,,5,Premium,0.01,8,3,3,0
19,0.92,0.1,3.8,2,Basic,0.18,35,0,26,0
52,2.29,0.98,3.1,1,Premium,0.68,57,4,26,0
36,,0.86,4.5,10,Premium,0.96,14,0,0,0
29,,0.69,2.0,7,Premium,0.75,22,1,23,2
46,128.75,0.94,2.5,3,Premium,0.57,20,1,5,0
63,,0.72,4.1,1,Basic,0.7,38,2,12,0
33,15.65,0.19,3.0,6,Basic,0.23,4,2,29,2
22,15.57,0.44,4.6,0,Basic,0.69,50,2,1,0
25,11.57,0.07,2.4,5,Premium,0.32,21,4,18,2
22,1.27,0.39,2.5,2,Basic,0.22,56,2,11,0
48,,0.74,4.6,3,Basic,0.24,30,3,21,1
38,23.21,0.39,2.9,9,Free,0.67,14,3,29,2
36,9.18,0.33,3.1,3,Premium,0.77,27,2,25,2
34,3.22,0.6,,5,Free,0.58,37,1,13,0
63,,0.87,2.1,5,Free,0.06,51,1,8,0
34,8.3,0.05,3.6,3,Basic,0.04,14,4,9,1
51,5.72,0.39,1.5,5,Free,0.22,48,2,6,0
44,1.02,0.16,4.5,4,Free,0.29,18,2,8,0
33,2.99,0.7,4.1,4,Free,0.4,34,1,14,0
17,12.97,0.11,1.8,2,Free,0.08,17,1,25,2
16,15.81,0.66,3.8,3,Free,0.73,9,2,19,2
62,1.18,0.29,3.4,6,Basic,0.71,14,1,14,1
20,24.36,0.2,1.7,4,Premium,0.35,49,1,23,2
35,3.19,0.94,2.1,0,Free,0.56,23,6,28,0
26,8.69,0.02,2.6,4,Basic,0.1,46,1,10,0
57,11.15,0.44,3.8,1,Premium,0.42,55,2,17,0
17,13.37,,3.6,5,Free,0.86,50,4,1,1
18,23.31,0.48,3.1,5,Basic,0.66,19,1,27,2
38,3.0,0.5,4.1,6,Free,0.1,36,3,19,0
27,15.64,0.32,4.0,4,Basic,0.85,10,6,18,2
35,1.13,0.13,3.5,2,Free,0.68,8,2,23,1
20,9.77,0.38,4.1,2,Premium,0.45,4,3,1,1
52,10.84,0.67,,4,Free,0.69,10,3,19,1
53,,0.95,4.5,1,Basic,0.17,53,4,12,0
45,2.33,0.53,3.5,1,Free,0.55,38,2,24,0
24,16.51,0.59,4.3,7,Basic,0.62,26,2,24,2
49,1.48,,,6,Free,0.93,1,5,3,1
59,0.44,0.29,1.9,3,Free,0.07,51,4,2,0
50,10.11,0.16,3.2,5,Free,0.37,53,2,14,1
37,5.16,0.25,2.5,2,Free,0.94,19,1,11,1
59,15.13,0.22,3.8,5,Basic,0.22,20,4,27,2
39,3.87,,2.9,8,Free,0.81,50,4,0,0
32,1.47,0.56,,5,Basic,0.0,49,1,27,0
25,14.48,0.94,3.7,2,Free,0.03,29,4,10,0
45,6.37,0.2,3.7,5,Free,0.33,47,1,16,0
61,1.68,0.64,,5,Free,0.77,0,1,7,0
38,10.19,0.82,,7,Premium,0.1,34,5,13,1
47,5.73,0.56,,5,Basic,0.38,25,1,24,1
32,7.42,0.26,4.2,2,Free,0.13,31,3,24,1
32,4.94,0.26,2.3,4,Basic,0.22,8,4,4,0
29,14.12,0.04,3.1,6,Premium,0.5,48,2,14,1
24,14.16,,1.5,2,Free,0.32,39,2,1,0
55,9.89,0.74,3.2,2,Basic,0.21,20,2,27,1
17,0.89,0.05,1.6,1,Free,0.39,15,2,6,0
60,14.6,0.22,3.2,4,Free,0.7,11,3,12,2
40,8.89,0.71,3.6,4,Free,0.12,35,2,19,0
54,9.55,0.95,2.6,5,Basic,0.48,36,0,10,0
24,3.61,0.98,,0,Free,0.27,26,2,13,0
37,16.91,0.7,4.5,6,Free,0.38,6,4,9,2
58,10.34,0.39,1.4,5,Free,0.82,29,5,3,1
61,0.96,0.16,4.2,4,Free,0.93,23,4,19,1
19,4.19,0.4,1.7,6,Free,0.24,49,4,14,0
41,,,1.1,4,Basic,0.63,53,4,25,1
44,0.39,0.95,1.7,0,Free,0.68,29,7,2,0
60,26.04,0.07,4.1,2,Premium,0.84,19,1,10,2
49,,0.51,2.6,5,Free,0.9,45,2,19,1
38,7.98,0.33,4.5,4,Basic,0.47,39,1,17,1
52,2.52,0.51,3.1,3,Free,0.98,44,4,24,1
26,2.29,0.02,1.1,7,Basic,0.97,27,3,22,1
21,,0.31,3.9,2,Premium,0.51,3,6,16,2
33,2.83,0.82,1.4,5,Free,0.54,11,4,29,1
36,11.95,0.55,4.2,5,Basic,0.67,2,4,20,2
57,4.0,0.45,1.7,3,Free,0.37,36,4,13,0
51,1.2,0.29,2.4,1,Free,0.66,3,1,14,1
56,0.09,0.3,4.0,3,Premium,0.51,14,6,17,1
53,,0.38,4.8,3,Free,0.04,27,3,2,0
49,29.76,0.84,,8,Free,0.85,36,2,12,2
32,3.69,0.97,4.3,2,Free,0.94,8,3,2,0
52,3.54,0.44,1.8,4,Free,0.03,13,2,28,1
40,,,4.2,5,Premium,0.79,58,2,6,0
53,5.88,0.85,3.6,4,Free,0.39,31,2,18,0
27,4.65,0.43,1.8,3,Basic,0.59,47,2,22,0
38,16.96,0.55,2.2,5,Free,0.5,2,2,27,2
57,5.63,0.23,,1,Free,0.55,46,6,26,1
37,5.67,0.74,2.5,2,Basic,0.5,17,6,23,1
36,1.19,0.86,1.8,4,Basic,0.85,49,4,17,0
42,32.47,0.81,3.6,4,Free,0.68,13,1,28,2
46,2.3,0.78,5.0,5,Premium,0.41,24,6,16,0
21,0.61,0.22,1.0,4,Free,0.69,38,5,27,1
42,8.7,0.72,3.2,1,Free,0.97,25,6,21,1
55,7.24,0.92,,8,Premium,0.08,59,4,26,0
49,4.29,0.35,,3,Basic,0.39,51,3,8,0
27,4.39,0.17,3.0,2,Premium,0.87,5,3,13,1
60,12.3,0.0,3.2,5,Basic,0.74,25,2,21,2
22,1.74,0.45,2.9,2,Free,0.93,47,2,7,0
25,13.73,0.96,2.1,6,Basic,0.04,53,2,13,0
60,8.37,,1.2,5,Free,0.86,50,3,4,0
32,4.34,0.19,2.6,1,Basic,0.79,40,0,23,1
41,4.9,0.86,1.2,6,Basic,0.82,51,3,19,0
36,,0.26,3.2,4,Premium,0.6,0,7,13,1
43,,0.23,2.2,6,Basic,0.05,49,2,27,1
61,5.75,,3.1,3,Free,0.54,20,4,11,1
17,3.1,0.5,1.5,5,Free,0.41,13,2,21,1
58,7.25,0.22,4.7,1,Free,0.53,45,1,7,0
16,,0.27,4.6,5,Basic,0.74,7,2,0,2
51,4.57,0.17,,4,Basic,0.6,54,4,15,0
41,20.28,0.72,2.4,4,Free,0.29,24,4,21,2
44,3.39,0.91,3.5,2,Premium,0.6,48,3,7,0
36,0.45,0.46,1.4,4,Premium,0.08,17,3,4,0
26,1.83,,2.4,5,Premium,0.01,14,4,2,0
55,4.34,0.74,2.0,5,Free,0.4,41,3,12,0
26,1.98,0.14,4.7,3,Basic,0.76,19,5,27,2
51,0.0,0.97,4.4,2,Premium,0.82,15,7,4,0
64,19.72,,3.3,5,Basic,0.55,6,5,2,2
54,14.86,0.2,3.1,4,Free,0.87,28,2,21,2
55,10.85,0.19,4.7,2,Premium,0.13,30,2,13,1
50,1.47,0.13,4.7,5,Premium,0.96,28,3,5,1
49,1.03,0.14,4.9,4,Basic,0.92,16,1,20,1
62,0.56,0.75,,2,Free,0.6,4,3,6,0
39,10.3,0.47,1.6,3,Free,0.06,17,2,22,1
37,,0.78,,6,Basic,0.45,13,4,5,2
20,4.5,0.75,3.2,4,Free,0.18,30,3,13,0
48,1.01,0.6,1.1,4,Basic,0.63,49,4,21,0
51,5.75,0.69,1.2,4,Free,0.19,17,4,3,0
62,,0.02,4.6,3,Free,0.48,46,2,19,1
35,3.76,0.31,4.5,3,Free,0.21,24,1,18,0
34,7.77,0.64,,4,Free,0.18,10,3,9,0
50,10.15,0.01,4.6,2,Basic,0.25,25,3,22,2
58,,,3.4,4,Free,0.03,4,3,12,1
32,0.29,0.85,4.2,5,Basic,0.72,15,0,11,0
60,41.38,0.68,2.7,5,Basic,0.31,7,7,13,2
58,,0.27,,5,Free,0.7,12,1,12,1
49,0.44,0.69,,7,Premium,0.65,57,4,18,0
24,1.68,0.79,2.8,4,Basic,0.07,31,6,8,0
41,0.32,0.31,3.2,2,Basic,0.31,53,2,15,0
17,3.98,0.04,1.4,4,Premium,0.57,26,4,8,0
24,12.97,0.93,5.0,4,Free,0.92,48,2,5,0
24,3.34,0.35,2.0,3,Free,0.4,25,3,13,0
55,4.7,,,5,Free,0.5,8,0,27,2
32,9.01,0.49,3.1,3,Free,0.75,46,3,6,0
16,5.69,0.77,3.1,5,Basic,0.8,6,4,18,1
40,15.81,0.22,2.8,6,Basic,0.92,58,2,2,1
58,16.08,,4.1,0,Free,0.5,49,4,28,2
55,0.08,0.24,3.1,3,Free,0.19,45,3,14,0
57,12.04,0.99,,5,Free,0.76,7,0,11,1
40,4.94,0.2,3.9,6,Free,0.13,1,6,0,1
54,,0.58,1.1,4,Basic,0.42,17,2,10,2
50,,0.88,3.3,4,Basic,0.63,35,5,21,0
18,,,4.5,5,Free,0.69,23,3,2,2
52,11.24,0.97,,3,Free,0.73,54,1,16,0
59,,0.95,2.6,2,Free,0.19,33,3,12,0
59,6.18,0.88,,1,Basic,0.98,41,0,28,0
45,38.76,0.21,2.4,5,Premium,0.18,37,1,7,2
53,,0.63,2.8,3,Free,0.1,10,3,12,1
49,0.82,0.76,4.9,8,Premium,0.66,58,6,7,0
27,9.8,0.99,1.8,2,Premium,0.91,51,5,7,0
34,3.39,0.18,1.3,5,Free,0.56,9,2,23,1
52,0.06,0.98,4.4,4,Premium,0.6,28,1,12,0
59,,0.34,,4,Free,0.54,48,6,11,0
64,2.14,,2.9,7,Premium,0.04,55,1,4,0
32,13.67,0.42,3.1,4,Basic,0.68,39,4,12,1
25,3.29,0.79,4.3,7,Free,0.36,5,5,22,1
64,14.06,0.46,4.0,3,Premium,0.94,47,3,11,1
62,0.0,0.54,2.1,6,Free,0.19,9,1,18,0
27,2.94,1.0,1.1,8,Premium,0.3,29,3,9,0
31,2.21,,2.9,6,Free,0.5,54,5,28,1
39,,0.62,4.4,4,Basic,0.48,27,0,14,0
34,0.56,0.37,4.6,5,Free,0.4,28,2,1,0
23,1.66,0.39,4.8,3,Premium,0.31,50,3,5,0
46,6.49,0.7,4.5,1,Free,0.15,24,2,15,0
36,2.76,0.94,3.3,1,Free,0.82,35,4,0,0
32,4.32,0.88,2.8,3,Basic,0.45,26,5,1,0
38,,0.85,4.1,6,Premium,0.57,33,3,22,0
52,16.69,0.09,4.0,2,Free,0.55,51,3,24,2
31,18.86,0.21,3.2,1,Free,0.58,33,2,22,2
21,5.43,0.5,1.3,2,Free,0.7,31,3,14,0
23,3.21,0.02,,5,Free,0.63,43,4,25,1
40,0.9,0.25,2.8,3,Premium,0.27,3,2,15,1
33,,0.52,2.5,3,Free,0.55,47,3,28,2
40,0.5,0.01,3.5,5,Basic,0.24,33,2,7,0
27,131.56,0.26,3.7,2,Basic,0.59,15,3,13,1
30,2.83,0.51,1.8,3,Free,0.43,59,3,23,0
41,,0.57,4.3,1,Free,0.04,46,2,9,0
56,1.44,0.93,2.2,8,Premium,0.73,45,7,14,0
60,12.23,0.65,1.7,6,Free,0.27,10,5,2,1
41,1.05,0.41,2.6,4,Free,0.92,14,1,5,0
62,8.06,1.0,3.9,3,Free,0.28,55,2,1,0
47,1.06,,4.9,2,Basic,1.0,37,3,8,0
25,0.59,0.93,4.2,1,Free,0.46,29,3,6,0
31,19.21,0.13,4.8,5,Premium,0.03,55,2,18,2
22,1.69,0.68,1.6,6,Basic,0.08,26,4,5,0
32,,,1.3,5,Free,0.08,15,3,25,2
38,6.29,,3.2,0,Basic,0.06,0,3,0,0
41,,0.74,2.2,7,Free,0.27,24,1,22,0
36,24.89,0.63,4.3,1,Premium,0.32,27,4,13,2
37,2.27,0.99,3.7,3,Free,0.11,42,2,24,0
22,15.71,0.53,4.9,3,Free,0.44,13,3,20,2
29,,0.11,2.0,1,Basic,0.37,33,1,24,0
30,15.39,0.91,2.9,3,Basic,0.64,55,3,7,0
22,0.11,0.93,3.0,3,Basic,0.2,47,3,7,0
24,5.74,0.78,,4,Premium,0.91,3,2,5,0
63,11.74,0.96,3.4,5,Free,0.52,13,3,14,1
23,,0.7,2.8,2,Free,0.62,15,3,18,2
38,19.19,,2.8,4,Free,0.04,14,4,19,2
44,13.7,0.46,2.5,3,Premium,0.56,33,1,16,1
33,17.53,,1.1,6,Premium,0.37,12,4,26,2
46,1.78,0.35,,4,Premium,0.92,16,2,5,0
45,2.67,0.64,2.3,1,Free,0.89,27,2,6,0
54,2.73,0.75,1.0,5,Free,0.64,51,0,27,0
50,3.79,0.68,2.2,5,Free,0.77,9,7,9,1
33,109.13,0.2,2.1,5,Free,0.64,46,4,8,0
57,6.29,0.49,2.6,7,Free,0.02,16,5,4,0
54,1.39,0.79,1.5,5,Free,0.7,7,2,1,0
32,9.4,0.48,3.0,5,Free,0.18,1,0,12,1
29,1.47,0.85,3.8,3,Free,0.68,55,2,22,0
46,2.97,0.77,3.5,4,Free,0.01,57,4,10,0
39,,,4.2,6,Free,0.31,0,0,10,1
50,12.73,0.41,2.8,5,Basic,0.52,54,3,29,1
59,10.76,0.9,3.1,4,Free,0.33,54,5,27,0
60,8.3,0.16,4.2,3,Basic,0.69,4,1,22,2
49,1.35,0.93,2.7,2,Free,0.52,34,3,28,0
18,,0.12,3.8,4,Premium,0.96,21,4,26,2
52,0.73,0.92,,1,Free,0.36,42,3,14,0
58,3.79,0.95,2.7,6,Free,0.72,15,3,13,0
55,4.27,0.24,4.0,7,Basic,0.84,52,2,20,1
41,0.33,0.73,1.7,3,Premium,0.25,8,2,10,0
38,2.56,0.81,2.4,1,Free,0.75,35,7,12,0
59,,0.86,1.9,3,Free,0.39,8,3,29,2
54,24.57,0.99,2.4,6,Premium,0.13,13,2,27,2
30,3.47,0.29,,5,Free,0.0,9,4,17,1
64,0.35,0.92,3.3,7,Free,0.74,21,3,6,0
19,,0.12,4.2,3,Premium,0.19,15,3,16,1
44,3.98,0.41,4.1,2,Premium,0.05,40,6,10,0
37,23.62,0.85,2.5,1,Free,0.5,2,2,21,2
40,1.22,0.37,5.0,4,Premium,0.35,27,0,5,0
28,11.53,0.59,3.4,7,Basic,0.69,29,1,13,1
33,0.92,0.5,2.6,4,Free,0.11,28,1,5,0
48,,,4.3,4,Basic,0.13,0,5,13,2
31,3.85,0.97,,3,Basic,0.4,27,3,28,0
60,11.94,0.06,4.0,4,Basic,0.52,21,6,18,2
57,3.36,0.57,1.8,6,Premium,0.82,31,7,2,0
59,7.9,0.86,,4,Free,0.59,51,2,16,0
17,,,4.4,5,Basic,0.9,10,1,19,1
50,1.26,0.08,3.0,1,Free,0.22,25,4,6,0
57,22.25,0.56,3.7,5,Free,0.6,30,2,16,2
49,19.97,0.33,3.4,4,Basic,0.66,19,4,25,2
45,17.48,0.15,4.4,3,Basic,0.73,19,5,9,2
28,7.86,1.0,2.1,2,Premium,0.99,32,3,17,0
28,,0.52,3.3,4,Premium,0.47,4,5,25,2
33,0.57,0.93,,4,Basic,0.37,40,5,17,0
47,3.26,0.81,3.8,3,Free,0.85,2,4,20,1
47,3.01,0.88,3.9,6,Basic,0.18,43,4,26,0
50,8.08,,1.2,6,Free,0.04,49,4,12,0
54,3.52,0.43,,7,Free,0.44,59,3,7,0
61,1.29,0.2,,2,Basic,0.25,33,1,4,0
44,,0.91,1.5,1,Basic,0.4,30,4,0,0
64,13.47,0.17,2.7,5,Basic,0.99,41,1,16,2
44,110.05,0.29,1.8,5,Premium,0.35,6,2,4,0
59,1.13,0.91,2.7,3,Free,0.71,29,6,15,0
31,1.75,0.95,,2,Free,0.25,53,5,17,0
59,2.17,0.21,4.0,5,Basic,0.3,17,3,27,1
62,2.85,0.6,4.1,6,Basic,0.24,15,4,2,0
25,8.24,0.09,3.4,4,Free,0.57,12,6,17,2
45,7.35,0.06,1.1,3,Free,0.23,32,7,8,0
40,9.53,0.37,4.7,3,Free,0.72,6,0,20,2
54,3.6,0.72,3.7,4,Premium,0.68,29,4,29,1
35,13.9,0.55,1.1,7,Premium,0.42,10,1,13,1
20,1.83,0.42,4.3,7,Free,0.03,5,4,16,1
16,5.06,,,4,Free,0.02,20,2,18,0
45,,,3.3,4,Free,0.53,31,4,28,2
64,1.59,0.94,2.9,4,Free,0.84,4,2,14,0
18,0.93,,2.7,7,Free,0.6,41,3,7,0
60,17.21,0.67,4.6,4,Free,0.44,28,1,3,1
29,3.36,0.89,2.7,3,Free,0.88,34,7,23,0
45,9.21,0.8,1.3,5,Free,0.2,58,2,28,0
19,,0.18,4.8,2,Basic,0.36,46,2,14,0
33,9.37,0.3,4.7,4,Free,0.57,11,5,16,2
52,3.04,0.72,3.7,1,Premium,0.29,36,3,23,0
40,0.46,,2.9,4,Premium,1.0,45,4,25,1
63,7.53,,1.4,5,Free,0.45,43,5,24,0
16,2.2,0.88,,7,Free,0.05,21,6,10,0
61,,0.73,1.3,2,Free,0.18,10,0,11,0
30,,0.1,,2,Free,0.53,22,3,13,0
24,1.27,0.72,3.1,2,Free,0.55,54,5,6,0
30,,0.9,1.6,5,Basic,0.98,44,5,2,0
64,,0.83,1.0,5,Basic,0.6,9,4,10,0
39,,0.04,2.7,6,Free,0.67,41,2,1,2
19,0.05,0.92,,4,Basic,0.21,23,5,16,0
27,5.29,0.37,1.6,3,Free,0.11,52,3,9,0
52,1.05,0.15,1.3,4,Free,0.6,45,6,25,1
52,2.94,0.88,,2,Basic,0.86,51,2,28,0
58,20.84,0.92,3.9,4,Free,0.59,15,1,22,2
21,1.41,0.39,4.2,6,Basic,0.44,11,4,0,0
54,27.01,0.84,2.8,4,Premium,0.58,54,8,21,2
61,1.84,0.85,3.0,3,Premium,0.47,49,3,12,0
39,10.82,0.17,1.1,3,Free,0.14,31,2,13,1
26,6.33,0.03,1.3,3,Basic,0.74,23,4,16,1
28,17.27,,2.0,4,Free,0.53,3,7,9,2
49,,0.91,3.2,0,Premium,0.4,41,2,19,0
40,6.12,,4.0,3,Premium,0.56,32,4,14,1
22,1.74,0.93,3.4,3,Free,0.24,17,2,20,0
19,1.45,0.45,2.6,6,Premium,0.43,46,7,16,0
23,19.86,0.94,1.5,6,Free,0.62,16,2,12,1
35,,0.12,4.1,4,Free,0.23,20,2,7,0
44,3.72,0.21,2.5,5,Free,0.75,0,2,6,1
60,11.41,0.03,3.9,6,Free,0.52,58,2,16,1
61,,0.43,3.1,0,Premium,0.86,45,0,4,0
25,24.3,0.28,4.0,4,Free,0.85,43,3,3,2
58,10.71,0.87,4.6,3,Premium,0.49,24,1,16,1
49,7.28,0.96,,2,Premium,0.2,58,6,3,0
41,17.02,0.61,3.1,8,Premium,0.74,30,4,29,2
56,0.41,0.53,,2,Free,0.42,42,2,19,0
64,2.38,0.09,2.1,1,Basic,0.59,19,2,21,1
18,,0.45,4.7,1,Basic,0.11,25,1,19,0
21,2.06,0.87,2.8,2,Basic,0.63,18,6,20,0
20,10.9,0.95,1.5,2,Free,0.37,29,2,10,0
20,20.13,,2.7,4,Basic,0.33,24,3,9,1
62,4.41,0.82,1.5,6,Basic,0.98,35,5,26,1
38,3.35,0.98,3.0,6,Basic,0.43,48,4,2,0
64,26.07,0.23,3.2,8,Premium,0.68,17,1,15,2
24,4.71,0.0,2.4,8,Free,0.63,3,4,12,2
50,5.37,0.98,1.3,6,Free,0.1,26,2,6,0
35,,0.11,4.8,3,Free,0.75,32,5,10,1
64,19.22,0.47,4.1,6,Free,0.32,5,2,18,2
57,6.73,0.68,4.4,5,Free,0.8,6,2,20,2
50,11.49,0.87,,4,Free,0.61,0,7,1,1
33,13.36,0.75,4.0,6,Premium,0.32,37,3,9,1
32,3.35,0.86,2.9,5,Premium,0.36,34,3,10,0
39,4.55,0.05,1.8,3,Free,0.73,22,6,25,2
18,15.1,0.01,1.5,4,Free,0.55,15,2,23,2
47,3.61,0.91,2.4,3,Free,0.67,58,6,12,0
50,12.64,0.29,1.6,2,Basic,0.16,33,6,19,1
53,22.64,0.25,5.0,8,Basic,0.79,33,2,0,2
28,7.81,0.33,1.2,4,Free,0.32,30,2,28,1
62,10.83,,2.8,2,Basic,0.62,42,4,17,1
40,13.08,0.51,2.8,2,Free,0.11,30,2,26,1
24,14.92,,2.2,3,Premium,0.32,51,0,6,0
19,4.02,,3.3,2,Premium,0.65,10,2,29,1
29,0.42,0.67,1.6,5,Premium,0.27,7,3,6,0
52,,0.39,4.1,4,Free,0.88,50,2,1,0
49,8.96,0.25,,5,Free,0.66,23,3,29,2
26,4.79,0.17,3.4,4,Free,0.87,22,1,7,1
56,11.06,0.35,3.9,2,Basic,0.4,31,2,10,1
18,3.53,0.74,4.6,4,Free,0.03,52,3,16,0
43,,,4.3,5,Basic,0.58,14,5,14,1
44,1.65,0.67,,0,Basic,0.34,27,5,11,0
24,11.07,0.23,2.6,5,Basic,0.45,19,9,19,2
18,6.31,0.59,3.0,4,Premium,0.68,13,5,7,1
40,,0.57,,5,Basic,0.7,25,3,4,0
49,2.76,0.48,4.5,2,Free,0.03,57,2,23,0
27,,0.55,1.4,5,Basic,0.77,49,1,7,0
57,,0.49,2.5,4,Premium,0.49,56,2,24,0
24,1.95,0.57,4.1,1,Basic,0.56,51,4,12,0
30,27.36,0.72,2.7,4,Basic,0.3,36,1,13,2
55,10.05,0.11,,4,Premium,0.42,1,2,13,2
40,25.2,0.75,2.6,10,Basic,0.71,33,5,0,2
20,4.46,0.14,,5,Premium,0.78,33,1,0,0
26,5.16,0.07,5.0,3,Free,0.39,57,1,27,1
49,18.26,0.98,3.0,3,Basic,0.69,33,7,8,1
39,5.96,,1.8,2,Free,0.26,8,0,6,0
30,9.83,0.06,1.7,6,Free,0.83,43,1,8,1
53,2.32,0.85,1.2,3,Free,0.61,52,3,1,0
23,4.74,0.19,3.2,2,Free,0.78,58,3,7,0
20,1.05,0.49,3.2,1,Free,0.48,53,5,0,0
63,1.85,0.83,1.8,4,Free,0.23,51,2,3,0
41,0.01,0.95,,6,Free,0.43,49,2,23,0
33,0.32,0.63,4.0,5,Premium,0.38,2,2,11,0
21,30.28,0.35,2.0,5,Free,0.33,29,3,3,2
52,2.22,,2.4,5,Free,0.21,18,4,18,0
63,8.71,0.31,5.0,1,Free,0.76,30,4,6,1
28,,0.91,2.5,4,Free,0.09,15,3,20,1
43,,0.87,4.0,3,Premium,0.89,42,4,0,0
20,,0.56,2.8,6,Premium,0.18,58,3,10,0
28,10.42,0.92,4.2,2,Premium,0.98,57,5,3,0
32,7.34,0.29,4.1,4,Free,0.99,55,3,3,0
55,84.22,0.03,,5,Free,0.4,23,3,11,2
60,11.75,0.82,4.4,7,Free,0.99,14,4,16,2
47,29.64,0.45,,3,Basic,0.87,21,4,10,2
44,6.82,0.33,3.3,6,Premium,0.08,31,2,26,1
18,3.34,0.47,1.9,3,Premium,0.95,10,3,25,1
55,8.36,0.82,2.6,4,Free,0.04,28,6,4,0
49,0.57,0.12,4.0,5,Free,0.18,41,4,27,1
55,18.22,,3.6,4,Free,0.58,58,2,29,1
42,1.02,0.85,1.7,3,Basic,0.08,23,2,1,0
28,3.18,0.91,1.2,3,Free,0.16,18,0,23,0
60,13.53,0.4,3.7,5,Free,0.95,54,2,8,1
48,7.28,0.22,2.0,7,Premium,0.99,4,2,15,2
